image_id,x_dim,y_dim
000434271f63a053c4128a0ba6352c7f,2336,2836
00053190460d56c53cc3e57321387478,1994,2430
0005e8e3701dfb1dd93d53e2ff537b6e,3072,3072
0006e0a85696f6bb578e84fafa9a5607,3000,3000
0007d316f756b3fa0baea2ff514ce945,2304,2880
000ae00eb3942d27e0b97903dd563a6e,3072,3072
000d68e42b71d3eac10ccc077aba07c1,2304,2880
00176f7e1b1cb835123f95960b9a9efd,2642,3170
001d127bad87592efe45a5c7678f8b8d,3072,3072
0021df30f3fddef551eb3df4354b1d06,3072,3072
00291f7aff0123ea76a59998effef229,3072,3072
0032c6091dc8f1b1245fc2f5f45458fa,2215,2359
003cfe5ce5c0ec5163138eb3b740e328,1994,2430
0046f681f078851293c4e710c4466058,2304,2880
004d2bc2111d639f5e8441ced52d55cb,2048,2500
004dc2a50591fb5f1aaf012bffa95fd9,1994,2430
00575e3846ebd05a909d97ba59c53d30,2336,2764
0059d21bef1793fa9522e4ec8cae1a1a,2552,2866
005be26a68485912e007a3703f43d60a,2932,3000
005d70155f949c7785671800f2c8e1ca,2358,2819
0061cf6d35e253b6e7f03940592cc35e,2540,3072
006501b11e04aec2d403177b9ae0f34c,3000,3000
00675cd546313f912cadd4ad54415d69,2606,2992
006e2726c6aa72f042a08b1406c39d52,2517,3028
006e5626f560c1a2a74f953d71f16c11,3000,3000
0071fbed56e53f6bfe416b7558b31f98,1994,2430
0076d6a1e3139927fd62459c54276c3c,2048,2500
007a5b30bc5eadb13017059543e0b6be,1994,2430
007c1195aab852cff5c20736be26a1ae,1994,2430
008b3176a7248a0a189b5731ac8d2e95,2505,3147
00948e3e6acc03044af454fb9700ca60,3072,3072
00958b3a4705cddb0d3d3b1a2c806f26,1854,2309
009917a5aad749f5237c4cef18f0f235,1994,2430
009d4c31ebf87e51c5c8c160a4bd8006,2762,2890
009d837e29ba400e03856cf8d6a5b545,2304,2880
009fc6795a7be2faa76c6e1005edc418,2336,2836
00a7e1e81b2122e5a0f298155573e549,3072,3072
00a9f697d85a506d5b281f588addce4e,2431,2992
00aca42a24e4ea6066cca2546150c36e,2995,3077
00ad02393a5d0bd1e0dcf3196433499f,2898,3096
00b05e693202bb65a0c0ca7a0201495d,2406,3013
00bcb82818ea83d6a86df241762cd7d0,2048,2500
00bedb314b716e802e72799b17edb059,2379,2614
00c4051383149d0dbe166f38b67c9b52,2622,3183
00c726dca086fc483d639dd5f1ca48c0,2540,2636
00ce367afd1ecefd6bcbed64ce1f82b2,3072,3072
00dc70e84d141255f7fc6f8038bdd72e,1994,2430
00e25f831ccd21bd41b558cfccbf1be7,2336,2836
00e9d7e1203324adb7e6fcc02231e3aa,1994,2430
00ef59a43670dc2ae8edc383bcd52d97,3000,3000
00f14d2898f10c7019b359958e6bc3c4,1994,2430
00f2f97f74e086e1f82acc285ee4a5c5,2304,2880
010018c93ed33ae56ed048ee54867e46,2813,3069
01014f8d2c30a1fabc30f28e7de53467,2791,2701
0101ad90f31ddb8fb24e9935a3dac9db,2392,2655
0102f723b31790a32c35f877eb942bad,1994,2430
0108949daa13dc94634a7d650a05c0bb,2304,2880
010a3dbb67bc37800a041866844861b1,2540,3072
011244ab511b20130d846f5f8f0c3866,3072,3072
0114380e3fbe6089b4c15dc35c4b79e6,1994,2430
0114c5cd093c742334d5a5fa14140421,2540,3072
011ae9520e81f1efe71c9d954ec07d09,3072,3072
011eb641c20dc4eaa472382849a99dd4,1994,2430
0128fe112c2ee94f8ec176109b6ca112,2048,2500
012969950fbdd28bb50cfa447877cd4e,2399,2826
0129a93b23aa71e7ea2b8b988d1c5287,2336,2836
013893a5fa90241c65c3efcdbdd2cec1,3072,3072
013e3ac3f5ed61cde07f8c54d02b01d0,2614,2614
01415f1554556009b0eaf0ad7ca360bd,2663,2951
014b381459563f39d15b37e327f2766e,2628,3044
014cca776c9bd5da35715042cdd002a0,2048,2500
014e3dd712dc90f61da7ce8747d8c4c0,2304,2880
01546d3e6175ceaabd7d92f0c566579d,2733,3171
01551a642641ce4371d7a400666afde1,2048,2500
01570ee44031e4ebab6031501293bf66,2304,2880
015bf89fc34cde9fafe7c79366fecee7,3028,2517
015d74d7d2667a9b93b8909283af38c8,3072,3072
015e332b702e4829710941ab7265bd1d,2008,2088
0162dad8330007f8f0daf43bcf4033f1,3072,3072
017a9ba3b9db23e4f7ba819bdb343f7c,2642,3170
017cd6c78e753ae58e1795fac350f321,1994,2430
01807b02013b5eb9306ce74e5ecd6016,2336,2836
01815f05a4a4e424181a6d3be101dcd0,2304,2880
0187da5fd71c7a2917346bf12a67bbe4,2718,2972
01892129d76aaa1f59d4b22df8a14c0b,1994,2430
018a2fe44c3451281ec338c27ecc9c53,2512,2944
018b348fd699821cdbc5bdc0b329982c,2536,3008
018ea9aab6d856c9f9f299b11504de4e,1994,2430
018ef9c5d5b20c5161a5c48703171c3b,2304,2880
0191b567f08216ca642e04ef05537169,2349,2500
019456d451d855736ae5c32e2484a100,2535,2874
019668dbdc511714d119c10b87dca089,3072,3072
01a1e85c56486eccd29f3e824e745c2a,2376,2806
01a318b645d42db0cdcaf9a0b7605723,2479,2971
01a3c3d994d85ce5634d2d13c03fd4b0,3072,3072
01a93e09220daa5b0316d426b701c76c,3000,3000
01ab9b3948978c95fa9d6d238893d1cc,3072,3072
01abaf7c7b831bba7403d08f56e58a94,2048,2500
01ad4b5b1e69b4fd92ebe4e35d76eeb5,2948,3000
01afcfaabc406f0fe1797cb7fa6616c6,2304,2880
